DATAPRESENTACAOPROPOSICAO;DATTRANSFPROPOSICAOLEI;COD_TIPO_PARLAMENTAR;NOM_CIVIL_PARLAMENTAR;NOM_PARLAMENTAR;COD_SEXO;DES_TIPO_PARLAMENTAR;COD_PARLAMENTAR_ORIGEM;NUM_LEGISLATURA_APRESEN;NUM_SESSAO_LEGISLATIVA_APRESEN;COD_TIPO_SESSAO_LEGISLATIVA_APRESEN;DAT_INICIO_LEGISLATURA_APRESEN;DAT_FIM_LEGISLATURA_APRESEN;DAT_INICIO_SESSAO_LEGISLATIVA_APRESEN;DAT_FIM_SESSAO_LEGISLATIVA_APRESEN;DES_TIPO_SESSAO_LEGISLATIVA_APRESEN;DAT_INICIAL_RECESSO_APRESEN;DAT_FINAL_RECESSO_APRESEN;NUM_LEGISLATURA_LEI;NUM_SESSAO_LEGISLATIVA_LEI;COD_TIPO_SESSAO_LEGISLATIVA_LEI;DAT_INICIO_LEGISLATURA_LEI;DAT_FIM_LEGISLATURA_LEI;DAT_INICIO_SESSAO_LEGISLATIVA_LEI;DAT_FIM_SESSAO_LEGISLATIVA_LEI;DES_TIPO_SESSAO_LEGISLATIVA_LEI;DAT_INICIAL_RECESSO_LEI;DAT_FINAL_RECESSO_LEI;COD_PROPOSICAO_ORIGEM;ANO_PROPOSICAO;NUM_PROPOSICAO;NOM_PROPOSICAO;AREAS_TEMATICAS_APRESENTACAO;SIG_NORMA_JURIDICA;DES_TIPO_NORMA_JURIDICA;COD_TIPO_NORMA_JURIDICA_ORIGEM;SIG_UF;TEX_REGIAO_GEOGRAFICA_AUTOR;NOM_UF;NOM_PARTIDO_POLITICO;COD_PARTIDO_POLITICO;SIG_PARTIDO_POLITICO;DES_SITUACAO_PROPOSICAO;SIG_TIPO_PROPOSICAO;DES_TIPO_PROPOSICAO;DES_COMPLETA;IND_ATIVO_TIPO_PROPOSICAO;DES_ATIVO_TIPO_PROPOSICAO;DAT_VETO_TOTAL;NOM_ORGAO;IND_ATIVO_ORGAO;DES_ATIVO_ORGAO;COD_ORGAO_ORIGEM;DES_APELIDO_ORGAO;COD_TIPO_AUTOR_ORIGEM;DES_TIPO_AUTOR
08-06-2005;;10000;JORGE DOS REIS PINHEIRO;JORGE PINHEIRO;M;DEPUTADO;530999;52;3;1;01-02-2003;31-01-2007;15-02-2005;15-12-2005;Ordinária;;;-1;-1;-1;;;;;N/A;;;288661;2005;5390;PL 5390/2005;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;DF;CENTRO-OESTE;DISTRITO FEDERAL;PARTIDO LIBERAL;110;PL;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
09-03-2005;;10000;ALICE MAZZUCO PORTUGAL;ALICE PORTUGAL;F;DEPUTADO;520406;52;3;1;01-02-2003;31-01-2007;15-02-2005;15-12-2005;Ordinária;;;-1;-1;-1;;;;;N/A;;;277737;2005;4882;PL 4882/2005;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;BA;NORDESTE;BAHIA;PARTIDO COMUNISTA DO BRASIL;99;PCDOB;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
22-03-2007;;10000;MARIA PERPÉTUA DE ALMEIDA;PERPÉTUA ALMEIDA;F;DEPUTADO;520068;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;345746;2007;551;PL 551/2007;DIREITOS HUMANOS, MINORIAS E CIDADANIA,ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;AC;NORTE;ACRE;PARTIDO COMUNISTA DO BRASIL;99;PCDOB;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
03-03-2008;;10000;JOSÉ BARROSO PIMENTEL;JOSÉ PIMENTEL;M;DEPUTADO;520420;53;2;1;01-02-2007;31-01-2011;06-02-2008;22-12-2008;Ordinária;17-07-2008;01-08-2008;-1;-1;-1;;;;;N/A;;;385259;2008;2914;PL 2914/2008;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53),TRABALHO E EMPREGO;N/A;N/A;-1;CE;NORDESTE;CEARÁ;PARTIDO DOS TRABALHADORES;134;PT;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
08-03-2007;;10000;ANTONIO CARLOS DE MENDES THAME;ANTONIO CARLOS MENDES THAME;M;DEPUTADO;524132;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;344098;2007;351;PL 351/2007;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53),TRABALHO E EMPREGO;N/A;N/A;-1;SP;SUDESTE;SÃO PAULO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;128;PSDB;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
08-04-2003;;10000;ROGERIO LUCIO SOARES DA SILVA;ROGERIO SILVA;M;DEPUTADO;521518;52;1;1;01-02-2003;31-01-2007;17-02-2003;15-12-2003;Ordinária;30-06-2003;01-08-2003;-1;-1;-1;;;;;N/A;;;110089;2003;667;PL 667/2003;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;MT;CENTRO-OESTE;MATO GROSSO;PARTIDO POPULAR SOCIALISTA;118;PPS;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
18-04-2002;;10000;ALOIZIO MERCADANTE OLIVA;ALOIZIO MERCADANTE;M;DEPUTADO;2512;51;4;1;01-02-1999;31-01-2003;15-02-2002;16-12-2002;Ordinária;02-07-2002;01-08-2002;-1;-1;-1;;;;;N/A;;;49402;2002;305;PLP 305/2002;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;SP;SUDESTE;SÃO PAULO;PARTIDO DOS TRABALHADORES;134;PT;N/A;PLP;PROJETO DE LEI COMPLEMENTAR;PROJETO DE LEI COMPLEMENTAR (ART. 61 CF);1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
06-04-2004;;10000;REINALDO PEREIRA PINTO;REINALDO BETÃO;M;DEPUTADO;522565;52;2;1;01-02-2003;31-01-2007;15-02-2004;15-12-2004;Ordinária;13-07-2004;01-08-2004;-1;-1;-1;;;;;N/A;;;174881;2004;3319;PL 3319/2004;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;RJ;SUDESTE;RIO DE JANEIRO;PARTIDO LIBERAL;110;PL;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
02-06-2004;;10000;JOÃO CALDAS DA SILVA;JOÃO CALDAS;M;DEPUTADO;520098;52;2;1;01-02-2003;31-01-2007;15-02-2004;15-12-2004;Ordinária;13-07-2004;01-08-2004;-1;-1;-1;;;;;N/A;;;256458;2004;3712;PL 3712/2004;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;AL;NORDESTE;ALAGOAS;PARTIDO LIBERAL;110;PL;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
14-08-2003;;10000;DARCI POMPEO DE MATTOS;POMPEO DE MATTOS;M;DEPUTADO;523074;52;1;1;01-02-2003;31-01-2007;17-02-2003;15-12-2003;Ordinária;30-06-2003;01-08-2003;-1;-1;-1;;;;;N/A;;;128387;2003;85;PLP 85/2003;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;RS;SUL;RIO GRANDE DO SUL;PARTIDO DEMOCRÁTICO TRABALHISTA;104;PDT;N/A;PLP;PROJETO DE LEI COMPLEMENTAR;PROJETO DE LEI COMPLEMENTAR (ART. 61 CF);1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
31-05-2006;;10000;LUIZ DE GONZAGA FONSECA MOTA;GONZAGA MOTA;M;DEPUTADO;520431;52;4;1;01-02-2003;31-01-2007;15-02-2006;22-12-2006;Ordinária;;;-1;-1;-1;;;;;N/A;;;326403;2006;7145;PL 7145/2006;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;CE;NORDESTE;CEARÁ;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;128;PSDB;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
23-02-2005;;10000;JORGE ALBERTO TELES PRADO;JORGE ALBERTO;M;DEPUTADO;523394;52;3;1;01-02-2003;31-01-2007;15-02-2005;15-12-2005;Ordinária;;;-1;-1;-1;;;;;N/A;;;275678;2005;4808;PL 4808/2005;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;SE;NORDESTE;SERGIPE;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;111;PMDB;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
14-04-2003;;10000;JANETE MARIA GÓES CAPIBERIBE;JANETE CAPIBERIBE;F;DEPUTADO;520257;52;1;1;01-02-2003;31-01-2007;17-02-2003;15-12-2003;Ordinária;30-06-2003;01-08-2003;-1;-1;-1;;;;;N/A;;;111284;2003;29;PLP 29/2003;ADMINISTRAÇÃO PÚBLICA,ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;AP;NORTE;AMAPÁ;PARTIDO SOCIALISTA BRASILEIRO;125;PSB;N/A;PLP;PROJETO DE LEI COMPLEMENTAR;PROJETO DE LEI COMPLEMENTAR (ART. 61 CF);1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
18-05-2007;;10000;ELIENE JOSÉ DE LIMA;ELIENE LIMA;M;DEPUTADO;526068;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;352200;2007;1119;PL 1119/2007;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;MT;CENTRO-OESTE;MATO GROSSO;PARTIDO PROGRESSISTA;115;PP;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
23-08-2007;;10000;FILIPE DE ALMEIDA PEREIRA;FILIPE PEREIRA;M;DEPUTADO;527045;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;364208;2007;139;PEC 139/2007;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53),TRIBUTAÇÃO;N/A;N/A;-1;RJ;SUDESTE;RIO DE JANEIRO;PARTIDO SOCIAL CRISTÃO;126;PSC;N/A;PEC;PROPOSTA DE EMENDA À CONSTITUIÇÃO;PROPOSTA DE EMENDA À CONSTITUIÇÃO (ART. 60 CF C/C ART. 201 A 203, RICD);1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
07-03-2007;;10000;FRANCISCO LOPES DA SILVA;CHICO LOPES;M;DEPUTADO;524985;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;344045;2007;343;PL 343/2007;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53),TRABALHO E EMPREGO;N/A;N/A;-1;CE;NORDESTE;CEARÁ;PARTIDO COMUNISTA DO BRASIL;99;PCDOB;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
13-05-2004;;10000;JOSÉ EDUARDO MARTINS CARDOZO;JOSÉ EDUARDO CARDOZO;M;DEPUTADO;523521;52;2;1;01-02-2003;31-01-2007;15-02-2004;15-12-2004;Ordinária;13-07-2004;01-08-2004;-1;-1;-1;;;;;N/A;;;253500;2004;3555;PL 3555/2004;DIREITO CIVIL E PROCESSUAL CIVIL,ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;SP;SUDESTE;SÃO PAULO;PARTIDO DOS TRABALHADORES;134;PT;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
08-05-2007;;10000;LUIS CARLOS HEINZE;LUIS CARLOS HEINZE;M;DEPUTADO;523066;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;350709;2007;992;PL 992/2007;ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53),POLÍTICA FUNDIÁRIA;N/A;N/A;-1;RS;SUL;RIO GRANDE DO SUL;PARTIDO PROGRESSISTA;115;PP;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
04-02-2009;;10000;CIRO FRANCISCO PEDROSA;CIRO PEDROSA;M;DEPUTADO;525573;53;3;1;01-02-2007;31-01-2011;02-02-2009;22-12-2009;Ordinária;17-07-2009;03-08-2009;-1;-1;-1;;;;;N/A;;;422940;2009;4611;PL 4611/2009;ADMINISTRAÇÃO PÚBLICA,ECONOMIA, ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA (UTILIZADO ATÉ A LEGISLATURA 53);N/A;N/A;-1;MG;SUDESTE;MINAS GERAIS;PARTIDO VERDE;140;PV;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
