DATAPRESENTACAOPROPOSICAO;DATTRANSFPROPOSICAOLEI;COD_TIPO_PARLAMENTAR;NOM_CIVIL_PARLAMENTAR;NOM_PARLAMENTAR;COD_SEXO;DES_TIPO_PARLAMENTAR;COD_PARLAMENTAR_ORIGEM;NUM_LEGISLATURA_APRESEN;NUM_SESSAO_LEGISLATIVA_APRESEN;COD_TIPO_SESSAO_LEGISLATIVA_APRESEN;DAT_INICIO_LEGISLATURA_APRESEN;DAT_FIM_LEGISLATURA_APRESEN;DAT_INICIO_SESSAO_LEGISLATIVA_APRESEN;DAT_FIM_SESSAO_LEGISLATIVA_APRESEN;DES_TIPO_SESSAO_LEGISLATIVA_APRESEN;DAT_INICIAL_RECESSO_APRESEN;DAT_FINAL_RECESSO_APRESEN;NUM_LEGISLATURA_LEI;NUM_SESSAO_LEGISLATIVA_LEI;COD_TIPO_SESSAO_LEGISLATIVA_LEI;DAT_INICIO_LEGISLATURA_LEI;DAT_FIM_LEGISLATURA_LEI;DAT_INICIO_SESSAO_LEGISLATIVA_LEI;DAT_FIM_SESSAO_LEGISLATIVA_LEI;DES_TIPO_SESSAO_LEGISLATIVA_LEI;DAT_INICIAL_RECESSO_LEI;DAT_FINAL_RECESSO_LEI;COD_PROPOSICAO_ORIGEM;ANO_PROPOSICAO;NUM_PROPOSICAO;NOM_PROPOSICAO;AREAS_TEMATICAS_APRESENTACAO;SIG_NORMA_JURIDICA;DES_TIPO_NORMA_JURIDICA;COD_TIPO_NORMA_JURIDICA_ORIGEM;SIG_UF;TEX_REGIAO_GEOGRAFICA_AUTOR;NOM_UF;NOM_PARTIDO_POLITICO;COD_PARTIDO_POLITICO;SIG_PARTIDO_POLITICO;DES_SITUACAO_PROPOSICAO;SIG_TIPO_PROPOSICAO;DES_TIPO_PROPOSICAO;DES_COMPLETA;IND_ATIVO_TIPO_PROPOSICAO;DES_ATIVO_TIPO_PROPOSICAO;DAT_VETO_TOTAL;NOM_ORGAO;IND_ATIVO_ORGAO;DES_ATIVO_ORGAO;COD_ORGAO_ORIGEM;DES_APELIDO_ORGAO;COD_TIPO_AUTOR_ORIGEM;DES_TIPO_AUTOR
04-05-2005;;10000;JOÃO HERRMANN NETO;JOÃO HERRMANN;M;DEPUTADO;523768;52;3;1;01-02-2003;31-01-2007;15-02-2005;15-12-2005;Ordinária;;;-1;-1;-1;;;;;N/A;;;284510;2005;5155;PL 5155/2005;RELAÇÕES INTERNACIONAIS;N/A;N/A;-1;SP;SUDESTE;SÃO PAULO;PARTIDO DEMOCRÁTICO TRABALHISTA;104;PDT;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
18-03-2008;;10000;NILMAR GAVINO RUIZ;NILMAR RUIZ;F;DEPUTADO;529147;53;2;1;01-02-2007;31-01-2011;06-02-2008;22-12-2008;Ordinária;17-07-2008;01-08-2008;-1;-1;-1;;;;;N/A;;;387424;2008;121;PRC 121/2008;RELAÇÕES INTERNACIONAIS;N/A;N/A;-1;TO;NORTE;TOCANTINS;DEMOCRATAS;202;DEM;N/A;PRC;PROJETO DE RESOLUÇÃO;PROJETO DE RESOLUÇÃO;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
11-12-2007;;10000;WILLIAM BOSS WOO;WILLIAM WOO;M;DEPUTADO;529078;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;380474;2007;2594;PL 2594/2007;RELAÇÕES INTERNACIONAIS,TRABALHO E EMPREGO;N/A;N/A;-1;SP;SUDESTE;SÃO PAULO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;128;PSDB;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
19-04-2007;;10000;PAULO ROBERTO SEVERO PIMENTA;PAULO PIMENTA;M;DEPUTADO;523094;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;348782;2007;43;PRC 43/2007;PROCESSO LEGISLATIVO,RELAÇÕES INTERNACIONAIS;N/A;N/A;-1;RS;SUL;RIO GRANDE DO SUL;PARTIDO DOS TRABALHADORES;134;PT;N/A;PRC;PROJETO DE RESOLUÇÃO;PROJETO DE RESOLUÇÃO;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
31-03-2005;;10000;DIMAS EDUARDO RAMALHO;DIMAS RAMALHO;M;DEPUTADO;523769;52;3;1;01-02-2003;31-01-2007;15-02-2005;15-12-2005;Ordinária;;;-1;-1;-1;;;;;N/A;;;280295;2005;1596;PDC 1596/2005;RELAÇÕES INTERNACIONAIS;N/A;N/A;-1;SP;SUDESTE;SÃO PAULO;PARTIDO POPULAR SOCIALISTA;118;PPS;N/A;PDC;PROJETO DE DECRETO LEGISLATIVO;PROJETO DE DECRETO LEGISLATIVO;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
07-08-2007;;10000;RODRIGO SANTOS DA ROCHA LOURES;RODRIGO ROCHA LOURES;M;DEPUTADO;526798;53;1;1;01-02-2007;31-01-2011;02-02-2007;24-12-2007;Ordinária;17-07-2007;01-08-2007;-1;-1;-1;;;;;N/A;;;361451;2007;73;PRC 73/2007;PROCESSO LEGISLATIVO,RELAÇÕES INTERNACIONAIS;N/A;N/A;-1;PR;SUL;PARANÁ;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;111;PMDB;N/A;PRC;PROJETO DE RESOLUÇÃO;PROJETO DE RESOLUÇÃO;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
28-04-2010;;10000;ANGELO CARLOS VANHONI;ANGELO VANHONI;M;DEPUTADO;526612;53;4;1;01-02-2007;31-01-2011;02-02-2010;22-12-2010;Ordinária;19-07-2010;02-08-2010;-1;-1;-1;;;;;N/A;;;474924;2010;7221;PL 7221/2010;ARTE E CULTURA,RELAÇÕES INTERNACIONAIS;N/A;N/A;-1;PR;SUL;PARANÁ;PARTIDO DOS TRABALHADORES;134;PT;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
14-09-2004;;10000;ANTONIO CARLOS DE MENDES THAME;ANTONIO CARLOS MENDES THAME;M;DEPUTADO;524132;52;2;1;01-02-2003;31-01-2007;15-02-2004;15-12-2004;Ordinária;13-07-2004;01-08-2004;-1;-1;-1;;;;;N/A;;;264409;2004;4128;PL 4128/2004;RELAÇÕES INTERNACIONAIS;N/A;N/A;-1;SP;SUDESTE;SÃO PAULO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;128;PSDB;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
08-02-2011;;10000;JOÃO SANDES JÚNIOR;SANDES JÚNIOR;M;DEPUTADO;520741;54;1;1;01-02-2011;31-01-2015;02-02-2011;22-12-2011;Ordinária;18-07-2011;01-08-2011;-1;-1;-1;;;;;N/A;;;491366;2011;245;PL 245/2011;RELAÇÕES INTERNACIONAIS,TRABALHO E EMPREGO;N/A;N/A;-1;GO;CENTRO-OESTE;GOIÁS;PARTIDO PROGRESSISTA;115;PP;N/A;PL;PROJETO DE LEI;PROJETO DE LEI;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
10-12-2013;;10000;LUIZ ALBERTO SILVA DOS SANTOS;LUIZ ALBERTO;M;DEPUTADO;520290;54;3;1;01-02-2011;31-01-2015;04-02-2013;23-12-2013;Ordinária;31-07-2013;01-08-2013;-1;-1;-1;;;;;N/A;;;603746;2013;233;PRC 233/2013;RELAÇÕES INTERNACIONAIS;N/A;N/A;-1;BA;NORDESTE;BAHIA;PARTIDO DOS TRABALHADORES;134;PT;N/A;PRC;PROJETO DE RESOLUÇÃO;PROJETO DE RESOLUÇÃO;1;ATIVADO;;N/A;-1;N/A;-1;N/A;TipoParlamentar_10000;DEPUTADO
