Class Name;Current Object Name;Current Description;New Object Name;New Description
Métricas;Qtd  Proposição;Medida que representa a quantidade de Proposições. ;Qtd  Proposição;Medida que representa a quantidade de Proposições. 
Métricas;Ide Tipo Norma Juridica;;Ide Tipo Norma Juridica;
Métricas;Ide Proposicao Artificial;;Ide Proposicao Artificial;
Métricas;Ide Parlamentar;;Ide Parlamentar;
Métricas;Ide Situacao Proposicao;;Ide Situacao Proposicao;
Métricas;Ide Sessao Legislativa;;Ide Sessao Legislativa;
Métricas;Ide Partido Politico;;Ide Partido Politico;
Métricas;Ide Tipo Proposicao Artificial;;Ide Tipo Proposicao Artificial;
Métricas;Ide Uf;;Ide Uf;
Métricas;Ide Orgao;;Ide Orgao;
Métricas;Ide Area Tematica;;Ide Area Tematica;
Métricas;Ide Tempo Data Transf Lei;;Ide Tempo Data Transf Lei;
Métricas;Ide Tempo Data Apresentacao;;Ide Tempo Data Apresentacao;
Métricas;Ide Sessao Legislativa Lei;;Ide Sessao Legislativa Lei;
Situação Proposição;Situação Proposição;"Identifica as proposições em diferentes momentos:
Transformada em Lei,
Transformada em Lei com Veto Parcial,
Proposições com Veto Total";Situação Proposição;"Identifica as proposições em diferentes momentos:
Transformada em Lei,
Transformada em Lei com Veto Parcial,
Proposições com Veto Total"
Proposição Apresentada;Ide Apresentada;;Ide Apresentada;
Proposição Apresentada;Proposição Apresentada;Identifica a proposição quanto a sua apresentação. Consideram-se apresentadas, nos termos do Art. 101 do Regimento Interno da CD, as proposições cujas cópias devidamente autenticadas e assinadas pelos respectivos autores sejam recebidas pelos órgãos competentes.  ;Proposição Apresentada;Identifica a proposição quanto a sua apresentação. Consideram-se apresentadas, nos termos do Art. 101 do Regimento Interno da CD, as proposições cujas cópias devidamente autenticadas e assinadas pelos respectivos autores sejam recebidas pelos órgãos competentes.  
Tipo Proposição;Sigla Tipo Proposicão;Identifica as diversas proposições de acordo com a sua sigla. As siglas são:    PEC - Proposta de Emenda à Constituição,  PLP Projeto de Lei Complementar, PL Projeto de Lei, MPV Medida Provisória, PDC Projeto de Decreto Legislativo, PRC  Projeto de Resolução da Câmara dos Deputados.                                                       ;Sigla Tipo Proposicão;Identifica as diversas proposições de acordo com a sua sigla. As siglas são:    PEC - Proposta de Emenda à Constituição,  PLP Projeto de Lei Complementar, PL Projeto de Lei, MPV Medida Provisória, PDC Projeto de Decreto Legislativo, PRC  Projeto de Resolução da Câmara dos Deputados.                                                       
Tipo Proposição;DescriçãoTipo Proposicão;Lista os tipos de proposições pelo seu nome completo.  Toda matéria sujeita a deliberação da Câmara dos Deputados é considerada uma proposição. Por exemplo: Proposta de Emenda à Constituição, Projeto de lei, Projeto de lei Complementar, Projeto de Decreto Legislatico;DescriçãoTipo Proposicão;Lista os tipos de proposições pelo seu nome completo.  Toda matéria sujeita a deliberação da Câmara dos Deputados é considerada uma proposição. Por exemplo: Proposta de Emenda à Constituição, Projeto de lei, Projeto de lei Complementar, Projeto de Decreto Legislatico
Tipo Proposição;Des Tipo Proposicao Pai1;;Des Tipo Proposicao Pai1;
Tipo Proposição;Des Tipo Proposicao Pai2;;Des Tipo Proposicao Pai2;
Tipo Proposição;Des Tipo Proposicao Pai3;;Des Tipo Proposicao Pai3;
Tipo Proposição;Des Tipo Proposicao Pai4;;Des Tipo Proposicao Pai4;
Tipo Proposição;Ide Tipo Proposicao Artf Pai1;;Ide Tipo Proposicao Artf Pai1;
Tipo Proposição;Ide Tipo Proposicao Artf Pai2;;Ide Tipo Proposicao Artf Pai2;
Tipo Proposição;Ide Tipo Proposicao Artf Pai3;;Ide Tipo Proposicao Artf Pai3;
Tipo Proposição;Ide Tipo Proposicao Artf Pai4;;Ide Tipo Proposicao Artf Pai4;
Tipo Proposição;Des Completa;;Des Completa;
